"","X","name","food_review","ambience_review","value_review","service_review","price_range","review_count","average_review","restaurant_main_type"
"131",131," La Grande Boucherie",4.3,4.1,3.6,4.1,"$50 and over","2 Reviews","4.5","French"
"132",132," 5 Napkin Burger - Upper West Side",4.5,4.2,4.2,4.4,"$30 and under","1324 Reviews","4.6","American"
"133",133," Gigino Trattoria",4.6,4.4,4.3,4.5,"$30 and under","1000 Reviews","4.6","Italian"
"134",134," Miramar",4.5,4.5,4.4,4.4,"$30 and under","139 Reviews","4.5","Seafood"
"135",135," Boilery East Village",4.5,4.4,4.5,4.5,"$31 to $50","28 Reviews","4.5","Seafood"
"136",136,"Bella Ciao",4.1,4,4.3,4.9,"$31 to $50","4 Reviews","4.3","Italian"
"137",137,"Gray Hawk Grill",4.8,4.9,4.7,4.9,"$31 to $50","14 Reviews","4.9","American"
"138",138,"Sushi Kaito",4.9,4.7,4.6,4.9,"$50 and over","381 Reviews","4.9","Sushi"
"139",139,"Siena Cafe",4.4,4.4,4.3,4.2,"$30 and under","191 Reviews","4.4","Italian"
"140",140,"Le Monde",4.3,4.2,4,4.2,"$30 and under","295 Reviews","4.2","French"
"141",141,"Patsy's Pizzeria - 69th St",4.6,3.9,4.2,4.5,"$30 and under","17 Reviews","4.6","Pizzeria"
"142",142," Angelo's Pizza",4.2,4,3.8,3.9,"$30 and under","218 Reviews","4.1","Pizzeria"
"143",143," tre sorelle",4.6,3.9,4.4,4.3,"$30 and under","4 Reviews","4.4","Italian"
"144",144," Brasserie Saint Marc",3,2.5,3.5,2,"$31 to $50","1 Reviews","2.5","French"
"146",146," Osteria Laura NYC",4.3,3.6,4.1,3.7,"$31 to $50","10 Reviews","4.1","Italian"
"147",147," Upstate Craft Beer & Oyster Bar",5,5,5,5,"$31 to $50","2 Reviews","5","Seafood"
"149",149," Left Bank NYC",4.4,4.5,4.1,4.3,"$31 to $50","707 Reviews","4.5","American"
"151",151," Bistro Casa Azul",4.7,4.3,4.5,4.7,"$30 and under","5 Reviews","4.7","Mexican"
